From,To,Town,Super (PMS),Diesel (AGO),Kerosene (IK),date_from,date_to,location
15-12-2025,14-01-2026,Timboroa,184.42,171.73,155.07,2025-12-15,2026-01-14,Timboroa
15-12-2025,14-01-2026,Kwanza,185.91,173.22,156.57,2025-12-15,2026-01-14,Kwanza
15-12-2025,14-01-2026,Kisumu,184.37,171.68,155.03,2025-12-15,2026-01-14,Kisumu
15-12-2025,14-01-2026,Asembo,184.15,171.45,154.8,2025-12-15,2026-01-14,Asembo
15-12-2025,14-01-2026,Mombasa,181.24,168.19,151.49,2025-12-15,2026-01-14,Mombasa
15-12-2025,14-01-2026,Chuka,186.98,173.93,157.23,2025-12-15,2026-01-14,Chuka
15-12-2025,14-01-2026,Mutuobare,187.0,173.95,157.25,2025-12-15,2026-01-14,Mutuobare
15-12-2025,14-01-2026,Kapenguria,185.74,173.05,156.39,2025-12-15,2026-01-14,Kapenguria
15-12-2025,14-01-2026,Kibish,197.95,185.25,168.6,2025-12-15,2026-01-14,Kibish
15-12-2025,14-01-2026,Alale,187.48,174.79,158.14,2025-12-15,2026-01-14,Alale
15-12-2025,14-01-2026,Malava,184.64,171.95,155.29,2025-12-15,2026-01-14,Malava
15-12-2025,14-01-2026,Makuyu,184.65,171.6,154.9,2025-12-15,2026-01-14,Makuyu
15-12-2025,14-01-2026,Oldonyiro,188.23,175.17,158.48,2025-12-15,2026-01-14,Oldonyiro
15-12-2025,14-01-2026,Rumuruti,184.56,171.87,155.22,2025-12-15,2026-01-14,Rumuruti
15-12-2025,14-01-2026,Lokori,190.15,177.45,160.8,2025-12-15,2026-01-14,Lokori
15-12-2025,14-01-2026,Songor,185.69,173.0,156.34,2025-12-15,2026-01-14,Songor
15-12-2025,14-01-2026,Migori,186.9,174.2,157.55,2025-12-15,2026-01-14,Migori
15-12-2025,14-01-2026,Ogembo,185.8,173.11,156.46,2025-12-15,2026-01-14,Ogembo
15-12-2025,14-01-2026,Taru,181.7,168.65,151.97,2025-12-15,2026-01-14,Taru
15-12-2025,14-01-2026,Habaswein,196.02,182.97,166.26,2025-12-15,2026-01-14,Habaswein
15-12-2025,14-01-2026,Londiani,183.64,170.95,154.29,2025-12-15,2026-01-14,Londiani
15-12-2025,14-01-2026,Saboti,185.0,172.31,155.66,2025-12-15,2026-01-14,Saboti
15-12-2025,14-01-2026,Kipsaraman,187.46,174.77,158.12,2025-12-15,2026-01-14,Kipsaraman
15-12-2025,14-01-2026,Bondo,184.37,171.68,155.03,2025-12-15,2026-01-14,Bondo
15-12-2025,14-01-2026,Ntimaru,188.08,175.39,158.73,2025-12-15,2026-01-14,Ntimaru
15-12-2025,14-01-2026,Lungalunga,182.49,169.44,152.75,2025-12-15,2026-01-14,Lungalunga
15-12-2025,14-01-2026,Mtito Andei,188.36,175.31,158.62,2025-12-15,2026-01-14,Mtito Andei
15-12-2025,14-01-2026,Turbi,197.71,184.66,167.97,2025-12-15,2026-01-14,Turbi
15-12-2025,14-01-2026,Tambach,184.08,171.39,154.74,2025-12-15,2026-01-14,Tambach
15-12-2025,14-01-2026,Kacheliba,186.43,173.73,157.09,2025-12-15,2026-01-14,Kacheliba
15-12-2025,14-01-2026,Morpus,186.01,173.32,156.66,2025-12-15,2026-01-14,Morpus
15-12-2025,14-01-2026,Sindo,185.53,172.84,156.18,2025-12-15,2026-01-14,Sindo
15-12-2025,14-01-2026,Narok,186.55,173.5,156.81,2025-12-15,2026-01-14,Narok
15-12-2025,14-01-2026,Doldo,188.81,175.76,159.07,2025-12-15,2026-01-14,Doldo
15-12-2025,14-01-2026,Kesses,184.38,171.68,155.03,2025-12-15,2026-01-14,Kesses
15-12-2025,14-01-2026,Ziwa,184.35,171.66,155.01,2025-12-15,2026-01-14,Ziwa
15-12-2025,14-01-2026,Kaptarakwa,184.35,171.66,155.01,2025-12-15,2026-01-14,Kaptarakwa
